//0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1798.80	0	2.7423	0	34.7770	0	27.731	0	201.9	0	60.4	0	28.70	0	0.02	0	0.000131	0	2.37	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1699.70	0	2.7685	0	34.7540	0	27.710	0	203.1	0	60.8	0	29.40	0	0.03	0	0.000137	0	2.38	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1598.90	0	2.8122	0	34.7290	0	27.686	0	197.1	0	59.1	0	30.50	0	0.03	0	0.000133	0	2.40	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1499.90	0	2.8260	0	34.6940	0	27.657	0	190.0	0	56.9	0	31.60	0	0.03	0	0.000138	0	2.35	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1399.60	0	2.8608	0	34.6560	0	27.623	0	184.4	0	55.3	0	32.70	0	0.02	0	0.000135	0	2.35	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1299.50	0	2.9355	0	34.6100	0	27.580	0	179.3	0	53.9	0	33.40	0	0.03	0	0.000136	0	2.32	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1199.50	0	3.0739	0	34.5680	0	27.534	0	175.6	0	52.9	0	34.20	0	0.02	0	0.000135	0	2.30	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1099.80	0	3.2830	0	34.5300	0	27.484	0	174.4	0	52.8	0	34.70	0	0.02	0	0.000151	0	2.26	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		999.80	0	3.5721	0	34.4850	0	27.420	0	175.5	0	53.5	0	34.60	0	0.02	0	0.000151	0	2.20	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		979.40	0	3.6170	0	34.4810	0	27.412	0	175.6	0	53.6	0		8	0.02	0	0.000354	0	2.18	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		978.00	0	3.6210	0	34.4800	0	27.411	0	175.6	0	53.6	0		8	0.02	0	0.000138	0	2.18	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		976.00	0	3.6250	0	34.4800	0	27.411	0	175.7	0	53.6	0		8	0.02	0	0.000141	0	2.18	0
