//0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		1999.60	0	0.5248	0	34.6750	0	27.814	0	234.1	0	66.2	0	36.00	0	0.03	0	0.000091	0	2.96	0	7.8188	0	7.5509	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		1948.30	0	0.5454	0	34.6750	0	27.813	0	223.0	0	63.1	0	36.00	0	0.03	0	0.000093	0	2.92	0	7.8171	0	7.5481	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		1898.50	0	0.5596	0	34.6770	0	27.814	0	221.9	0	62.8	0	36.00	0	0.02	0	0.000091	0	2.98	0	7.8177	0	7.5472	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		1849.10	0	0.5770	0	34.6780	0	27.814	0	221.3	0	62.7	0	36.00	0	0.02	0	0.000092	0	2.95	0	7.8190	0	7.5469	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		1798.80	0	0.5847	0	34.6780	0	27.813	0	220.8	0	62.5	0	36.00	0	0.03	0	0.000091	0	2.95	0	7.8195	0	7.5458	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		1748.80	0	0.6167	0	34.6800	0	27.813	0	220.2	0	62.4	0	36.00	0	0.03	0	0.000092	0	2.97	0	7.8225	0	7.5474	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		1699.00	0	0.6321	0	34.6800	0	27.812	0	219.7	0	62.3	0	36.00	0	0.03	0	0.000093	0	2.97	0	7.8240	0	7.5473	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		1648.80	0	0.6669	0	34.6820	0	27.811	0	219.0	0	62.2	0	35.90	0	0.03	0	0.000091	0	2.99	0	7.8257	0	7.5477	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		1599.50	0	0.6957	0	34.6830	0	27.810	0	218.6	0	62.1	0	35.90	0	0.03	0	0.000092	0	3.00	0	7.8271	0	7.5478	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		1549.80	0	0.7196	0	34.6840	0	27.810	0	218.4	0	62.1	0	35.70	0	0.03	0	0.000090	0	2.95	0	7.8288	0	7.5480	0
