//0																															
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0511SoOcn	1	C	12/18/2014	16:32				1999	0	0.0447	0	34.659	0	27.829	0	228.5	0	63.8	0	31.9	8	0.02	0	0.000093	0	2.36	0	7.7496	0	7.4811	0
0511SoOcn	1	C	12/18/2014	16:32				1949.7	0	0.0573	0	34.66	0	27.829	0	227.2	0	63.4	0	31.9	8	0.02	0	0.000094	0	2.41	0	7.748	0	7.4781	0
0511SoOcn	1	C	12/18/2014	16:32				1899.7	0	0.0726	0	34.66	0	27.828	0	226.4	0	63.3	0	31.8	8	0.02	0	0.000093	0	2.36	0	7.7472	0	7.476	0
0511SoOcn	1	C	12/18/2014	16:32				1849.7	0	0.0921	0	34.661	0	27.828	0	225.6	0	63.1	0	31.9	8	0.02	0	0.000093	0	2.39	0	7.7496	0	7.4767	0
0511SoOcn	1	C	12/18/2014	16:32				1799.9	0	0.1085	0	34.662	0	27.828	0	224.8	0	62.9	0	31.9	8	0.02	0	0.000094	0	2.39	0	7.7506	0	7.4762	0
0511SoOcn	1	C	12/18/2014	16:32				1749.7	0	0.126	0	34.663	0	27.827	0	223.9	0	62.7	0	32	8	0.02	0	0.000094	0	2.37	0	7.7523	0	7.4764	0
0511SoOcn	1	C	12/18/2014	16:32				1699	0	0.1453	0	34.664	0	27.827	0	222.9	0	62.4	0	32	8	0.02	0	0.000094	0	2.36	0	7.7521	0	7.4748	0
0511SoOcn	1	C	12/18/2014	16:32				1650	0	0.1667	0	34.665	0	27.827	0	221.7	0	62.1	0	32	8	0.02	0	0.000094	0	2.37	0	7.7532	0	7.4745	0
0511SoOcn	1	C	12/18/2014	16:32				1600.1	0	0.1946	0	34.665	0	27.825	0	220.6	0	61.8	0	32.1	8	0.03	0	0.000095	0	2.36	0	7.7545	0	7.4745	0
0511SoOcn	1	C	12/18/2014	16:32				1549	0	0.2185	0	34.667	0	27.826	0	219.4	0	61.6	0	32	8	0.02	0	0.000095	0	2.41	0	7.7555	0	7.474	0
0511SoOcn	1	C	12/18/2014	16:32				1498.8	0	0.2399	0	34.668	0	27.825	0	218	0	61.2	0	32.1	8	0.02	0	0.000095	0	2.39	0	7.7545	0	7.4717	0
0511SoOcn	1	C	12/18/2014	16:32				1449.4	0	0.2625	0	34.668	0	27.824	0	217.3	0	61	0	32	8	0.02	0	0.000095	0	2.42	0	7.7582	0	7.4738	0
0511SoOcn	1	C	12/18/2014	16:32				1399.7	0	0.2888	0	34.67	0	27.824	0	216.3	0	60.8	0	32.1	8	0.02	0	0.000095	0	2.39	0	7.7583	0	7.4726	0
0511SoOcn	1	C	12/18/2014	16:32				1350	0	0.3148	0	34.671	0	27.823	0	215.2	0	60.5	0	32	8	0.02	0	0.000095	0	2.4	0	7.7613	0	7.4741	0
0511SoOcn	1	C	12/18/2014	16:32				1298.8	0	0.3344	0	34.672	0	27.823	0	214.7	0	60.4	0	32.1	8	0.02	0	0.000095	0	2.39	0	7.7611	0	7.4725	0
0511SoOcn	1	C	12/18/2014	16:32				1248.7	0	0.3553	0	34.673	0	27.823	0	213.6	0	60.1	0	32.3	8	0.02	0	0.000096	0	2.43	0	7.7632	0	7.4731	0
0511SoOcn	1	C	12/18/2014	16:32				1199.3	0	0.3729	0	34.674	0	27.822	0	212.7	0	59.9	0	32.1	8	0.02	0	0.000095	0	2.41	0	7.7639	0	7.4723	0
0511SoOcn	1	C	12/18/2014	16:32				1149.6	0	0.3948	0	34.675	0	27.822	0	212.2	0	59.8	0	32.2	8	0.02	0	0.000095	0	2.44	0	7.7662	0	7.4731	0
0511SoOcn	1	C	12/18/2014	16:32				1098.5	0	0.4159	0	34.675	0	27.821	0	211.6	0	59.6	0	32.1	8	0.02	0	0.000096	0	2.44	0	7.7683	0	7.4736	0
0511SoOcn	1	C	12/18/2014	16:32				1048.9	0	0.4371	0	34.677	0	27.821	0	210.8	0	59.5	0	32.1	8	0.02	0	0.000097	0	2.42	0	7.7685	0	7.4725	0
0511SoOcn	1	C	12/18/2014	16:32				999.2	0	0.4587	0	34.677	0	27.82	0	210.3	0	59.4	0	32	8	0.03	0	0.000099	0	2.42	0	7.7713	0	7.4737	0
0511SoOcn	1	C	12/18/2014	16:32				977.9	0	0.466	0	34.678	0	27.82	0	209.9	0	59.3	0		8		0		0		0	7.7652	0	7.4676	0
0511SoOcn	1	C	12/18/2014	16:32				976	0	0.467	0	34.678	0	27.82	0	209.9	0	59.3	0		8	0.02	0	0.000097	0	2.42	0	7.7655	0	7.4677	0
