//1																					
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth [m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		321.66	0	5.1354	0	34.1909	0	26.954	0	272.3	0	85.8	0	23.07	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		311.38	0	5.1436	0	34.1883	0	26.951	0	272.4	0	85.8	0	22.75	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		301.22	0	5.1385	0	34.185	0	26.949	0	272.9	0	86	0	22.57	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		291.18	0	5.157	0	34.1861	0	26.947	0	273.1	0	86.1	0	23.03	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		281.12	0	5.1751	0	34.1874	0	26.946	0	273.6	0	86.2	0	22.76	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		270.99	0	5.1939	0	34.1873	0	26.944	0	274.4	0	86.6	0	22.21	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		261.04	0	5.2159	0	34.1865	0	26.94	0	274.8	0	86.7	0	22.64	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		251.26	0	5.2212	0	34.1856	0	26.939	0	275.2	0	86.9	0	22.15	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		241.7	0	5.2274	0	34.1845	0	26.937	0	275.3	0	86.9	0	22.22	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		231.01	0	5.2234	0	34.1803	0	26.934	0	276.1	0	87.1	0	22.78	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		221.43	0	5.2327	0	34.1803	0	26.933	0	276.2	0	87.2	0	23.47	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		210.76	0	5.2374	0	34.1777	0	26.931	0	277.2	0	87.5	0	23.12	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		201.09	0	5.2443	0	34.1757	0	26.928	0	278.7	0	88	0	22.5	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		191.42	0	5.254	0	34.1751	0	26.926	0	279.2	0	88.2	0	22.48	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		181.07	0	5.2525	0	34.172	0	26.924	0	279.5	0	88.3	0	22.78	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		171.08	0	5.2664	0	34.1721	0	26.922	0	280	0	88.4	0	22.06	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		161.57	0	5.3061	0	34.1713	0	26.917	0	281.1	0	88.9	0	22.57	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		151.31	0	5.328	0	34.1694	0	26.913	0	282.1	0	89.3	0	22.46	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		141.07	0	5.3757	0	34.1681	0	26.906	0	282.3	0	89.4	0	21.98	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		131.57	0	5.4339	0	34.169	0	26.899	0	283.2	0	89.8	0	21.56	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		121.17	0	5.3883	0	34.1503	0	26.889	0	284.4	0	90.1	0	21.75	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		110.92	0	5.3955	0	34.1388	0	26.879	0	284.6	0	90.2	0	21.6	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		100.73	0	5.5219	0	34.1364	0	26.861	0	284	0	90.3	0	21	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		96.12	0	5.7271	0	34.1375	0	26.836	0	283.2	0	90.5	0	20.19	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		91.5	0	6.0208	0	34.1503	0	26.808	0	284.1	0	91.4	0	20.39	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		86.61	0	6.2522	0	34.1356	0	26.766	0	285.3	0	92.3	0	19.43	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		81.21	0	6.5758	0	34.129	0	26.717	0	285.5	0	93	0	19.23	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		76.07	0	6.6878	0	34.1317	0	26.704	0	287.4	0	93.9	0	18.8	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		70.9	0	6.6984	0	34.132	0	26.702	0	288.9	0	94.4	0	19.16	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		66.51	0	6.7101	0	34.132	0	26.701	0	289.4	0	94.6	0	18.56	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		60.95	0	6.7393	0	34.1312	0	26.696	0	290	0	94.8	0	18.29	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		56.19	0	6.7289	0	34.1315	0	26.698	0	290.6	0	95	0	18.99	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		50.69	0	6.7605	0	34.129	0	26.691	0	290.9	0	95.2	0	18.42	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		46.36	0	6.7599	0	34.131	0	26.693	0	291.4	0	95.3	0	18.71	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		41.03	0	6.7615	0	34.1311	0	26.693	0	291.8	0	95.5	0	18.64	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		36.05	0	6.7539	0	34.1306	0	26.694	0	291.9	0	95.5	0	18.77	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		31.45	0	6.7614	0	34.1308	0	26.693	0	292.1	0	95.6	0	18.85	0
5426DRAKEPASS	1	C	1/8/2009	2:08	280.6	-55.629		26.65	0	6.7599	0	34.1313	0	26.693	0	292.3	0	95.7	0	19.19	0
