//0																									
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		  1499.33	0	  0.7764	0	34.7066	0	27.814	0	173.2	0	49.1	0	40.01	0	0.07	0	0.000106	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		  1398.97	0	  0.8186	0	34.7079	0	27.812	0	172.4	0	48.9	0	39.96	0	0.08	0	0.000106	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		  1299.03	0	  0.8578	0	34.7102	0	27.811	0	171.6	0	48.7	0	40.03	0	0.09	0	0.000110	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		  1198.50	0	  0.9044	0	34.7118	0	27.808	0	170.5	0	48.5	0	39.95	0	0.09	0	0.000109	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		  1099.53	0	  0.9613	0	34.7141	0	27.806	0	169.5	0	48.2	0	39.95	0	0.09	0	0.000112	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   999.07	0	  1.0246	0	34.7166	0	27.803	0	167.8	0	47.9	0	39.90	0	0.09	0	0.000109	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   951.48	0	  1.0561	0	34.7180	0	27.801	0	167.1	0	47.7	0	39.92	0	0.08	0	0.000109	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   901.28	0	  1.0932	0	34.7192	0	27.799	0	166.2	0	47.5	0	40.01	0	0.10	0	0.000116	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   851.20	0	  1.1241	0	34.7201	0	27.797	0	165.3	0	47.3	0	40.11	0	0.08	0	0.000110	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   801.26	0	  1.1585	0	34.7214	0	27.795	0	164.4	0	47.1	0	40.03	0	0.08	0	0.000113	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   750.92	0	  1.1971	0	34.7228	0	27.793	0	163.2	0	46.8	0	40.11	0	0.09	0	0.000114	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   701.04	0	  1.2309	0	34.7235	0	27.791	0	162.4	0	46.6	0	40.11	0	0.09	0	0.000116	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   651.20	0	  1.2676	0	34.7242	0	27.789	0	161.5	0	46.3	0	40.10	0	0.17	0	0.000147	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   600.71	0	  1.3101	0	34.7253	0	27.786	0	160.7	0	46.2	0	40.12	0	0.09	0	0.000114	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   548.56	0	  1.3429	0	34.7254	0	27.783	0	160.1	0	46.0	0	40.13	0	0.10	0	0.000120	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   501.30	0	  1.3810	0	34.7258	0	27.78	0	159.7	0	46.0	0	40.11	0	0.09	0	0.000120	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   451.25	0	  1.4204	0	34.7253	0	27.777	0	159.5	0	46.0	0	40.09	0	0.11	0	0.000120	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   401.19	0	  1.4795	0	34.7240	0	27.771	0	159.1	0	45.9	0	39.97	0	0.09	0	0.000120	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   381.49	0	  1.5056	0	34.7232	0	27.768	0	158.7	0	45.8	0	40.05	0	0.09	0	0.000120	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   361.09	0	  1.5286	0	34.7213	0	27.764	0	158.4	0	45.8	0	40.08	0	0.11	0	0.000128	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   350.72	0	  1.5321	0	34.7213	0	27.764	0	158.2	0	45.7	0	40.15	0	0.09	0	0.000119	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   340.77	0	  1.5499	0	34.7192	0	27.761	0	158.0	0	45.7	0	40.19	0	0.12	0	0.000131	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   330.99	0	  1.5592	0	34.7183	0	27.759	0	157.6	0	45.6	0	40.19	0	0.11	0	0.000121	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   321.21	0	  1.5632	0	34.7176	0	27.758	0	157.5	0	45.6	0	40.23	0	0.09	0	0.000124	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   311.70	0	  1.5713	0	34.7170	0	27.757	0	157.3	0	45.5	0	40.18	0	0.11	0	0.000120	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   301.42	0	  1.5856	0	34.7147	0	27.754	0	157.1	0	45.4	0	40.18	0	0.11	0	0.000124	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   291.16	0	  1.5890	0	34.7131	0	27.752	0	156.9	0	45.4	0	40.27	0	0.12	0	0.000126	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   281.43	0	  1.5967	0	34.7092	0	27.748	0	156.6	0	45.3	0	40.36	0	0.10	0	0.000123	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   270.97	0	  1.6073	0	34.7060	0	27.745	0	156.6	0	45.3	0	40.24	0	0.12	0	0.000121	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   261.38	0	  1.6187	0	34.7043	0	27.742	0	156.3	0	45.3	0	40.27	0	0.11	0	0.000123	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   251.47	0	  1.6042	0	34.6986	0	27.739	0	156.2	0	45.2	0	40.28	0	0.10	0	0.000123	0
7613SoOcn	 1	C	03/31/2014	19:35	203.999	-66.511		   240.96	0	  1.5710	0	34.6908	0	27.736	0	156.8	0	45.3	0	40.46	0	0.11	0	0.000123	0
