//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		  1498.67	0	 -0.0140	0	34.6672	0	27.842	0	192.0	0	53.5	0	34.64	0	0.00	0	0.000081	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		  1399.65	0	  0.0155	0	34.6683	0	27.841	0	189.6	0	52.8	0	34.84	0	0.00	0	0.000083	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		  1299.23	0	  0.0471	0	34.6699	0	27.84	0	188.3	0	52.5	0	34.67	0	0.00	0	0.000085	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		  1198.82	0	  0.0837	0	34.6715	0	27.839	0	185.7	0	51.8	0	35.11	0	0.00	0	0.000083	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		  1099.82	0	  0.1204	0	34.6728	0	27.837	0	183.7	0	51.4	0	34.94	0	0.00	0	0.000083	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   998.86	0	  0.1689	0	34.6752	0	27.835	0	181.2	0	50.7	0	35.24	0	0.00	0	0.000083	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   951.23	0	  0.1871	0	34.6762	0	27.835	0	180.2	0	50.4	0	35.33	0	0.01	0	0.000085	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   901.76	0	  0.2084	0	34.6774	0	27.834	0	179.6	0	50.3	0	35.39	0	0.00	0	0.000087	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   851.69	0	  0.2338	0	34.6779	0	27.833	0	178.2	0	49.9	0	35.49	0	0.00	0	0.000084	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   801.52	0	  0.2601	0	34.6793	0	27.832	0	176.3	0	49.4	0	35.59	0	0.01	0	0.000088	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   751.42	0	  0.2830	0	34.6806	0	27.831	0	175.3	0	49.2	0	35.56	0	0.00	0	0.000088	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   700.88	0	  0.3049	0	34.6813	0	27.83	0	173.9	0	48.8	0	35.93	0	0.00	0	0.000087	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   650.95	0	  0.3257	0	34.6820	0	27.829	0	172.5	0	48.5	0	35.94	0	0.01	0	0.000088	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   601.52	0	  0.3455	0	34.6829	0	27.828	0	171.6	0	48.2	0	35.96	0	0.01	0	0.000090	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   551.10	0	  0.3714	0	34.6840	0	27.827	0	170.3	0	47.9	0	35.99	0	0.00	0	0.000087	0
7652SoOcn	 1	C	12/14/2014	19:03	   0.076	-59.998		   500.84	0	  0.3927	0	34.6843	0	27.826	0	169.4	0	47.7	0	36.29	0	0.01	0	0.000091	0
