//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		1399.38	0	0.7035	0	34.7024	0	27.817	0	203	0	57.6	0	39.32	0	0.12	0	0.000097	0	7.8639	0	7.5751	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		1298.38	0	0.7462	0	34.704	0	27.815	0	201.4	0	57.2	0	39.49	0	0.12	0	0.000095	0	7.8667	0	7.5749	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		1199.53	0	0.7919	0	34.7058	0	27.813	0	200.1	0	56.9	0	39.43	0	0.1	0	0.000099	0	7.8696	0	7.5749	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		1098.49	0	0.8415	0	34.7084	0	27.811	0	198.6	0	56.6	0	39.5	0	0.1	0	0.000098	0	7.8731	0	7.5755	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		999.27	0	0.8911	0	34.7105	0	27.808	0	196.9	0	56.2	0	39.64	0	0.11	0	0.000098	0	7.877	0	7.5764	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		951.39	0	0.9208	0	34.7116	0	27.807	0	196.1	0	56	0	39.34	0	0.11	0	0.000098	0	7.874	0	7.5725	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		900.99	0	0.9513	0	34.7128	0	27.805	0	195.1	0	55.8	0	39.7	0	0.1	0	0.000098	0	7.875	0	7.5722	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		851.34	0	0.9774	0	34.7141	0	27.804	0	194.1	0	55.5	0	39.62	0	0.12	0	0.000099	0	7.8755	0	7.5714	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		800.72	0	1.0103	0	34.7154	0	27.803	0	192.9	0	55.2	0	39.39	0	0.11	0	0.000102	0	7.8753	0	7.57	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		751.07	0	1.0418	0	34.7166	0	27.801	0	191.6	0	54.9	0	39.49	0	0.12	0	0.000099	0	7.8746	0	7.5681	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		701.67	0	1.0802	0	34.7182	0	27.799	0	190	0	54.5	0	39.62	0	0.11	0	0.000111	0	7.8747	0	7.5672	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		651.7	0	1.1195	0	34.7193	0	27.797	0	188.3	0	54	0	39.58	0	0.11	0	0.000101	0	7.8736	0	7.5651	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		601.38	0	1.1507	0	34.7205	0	27.795	0	187	0	53.7	0	39.67	0	0.1	0	0.000105	0	7.8742	0	7.5643	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		550.72	0	1.1841	0	34.7212	0	27.793	0	185.7	0	53.4	0	39.59	0	0.11	0	0.000102	0	7.8757	0	7.5645	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		501.12	0	1.2195	0	34.7221	0	27.791	0	184.2	0	53	0	39.56	0	0.11	0	0.000101	0	7.8744	0	7.5622	0
