//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		  1798.25	0	  1.0750	0	34.7156	0	27.798	0	179.1	0	51.3	0	33.12	0	7.7918	0	7.5271	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		  1699.36	0	  1.1580	0	34.7185	0	27.793	0	176.9	0	50.8	0	32.95	0	7.7940	0	7.5270	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		  1598.68	0	  1.2559	0	34.7226	0	27.788	0	174.8	0	50.3	0	32.90	0	7.7980	0	7.5287	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		  1499.74	0	  1.3588	0	34.7235	0	27.78	0	172.7	0	49.9	0	32.68	0	7.7991	0	7.5278	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		  1399.15	0	  1.4130	0	34.7237	0	27.776	0	171.6	0	49.6	0	32.57	0	7.8026	0	7.5286	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		  1299.51	0	  1.5004	0	34.7237	0	27.768	0	169.7	0	49.2	0	32.51	0	7.8043	0	7.5280	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		  1199.59	0	  1.6143	0	34.7236	0	27.759	0	167.2	0	48.6	0	32.56	0	7.8038	0	7.5258	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		  1099.16	0	  1.6901	0	34.7219	0	27.751	0	165.5	0	48.2	0	32.61	0	7.8062	0	7.5258	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		   999.60	0	  1.7948	0	34.7182	0	27.738	0	163.6	0	47.7	0	32.49	0	7.8074	0	7.5251	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		   951.60	0	  1.8269	0	34.7164	0	27.734	0	163.2	0	47.7	0	32.72	0	7.7991	0	7.5163	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		   900.58	0	  1.8826	0	34.7136	0	27.727	0	161.9	0	47.4	0	32.70	0	7.8006	0	7.5168	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		   851.09	0	  1.9221	0	34.7104	0	27.721	0	161.1	0	47.2	0	32.67	0	7.8010	0	7.5160	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		   801.63	0	  1.9408	0	34.7083	0	27.717	0	160.7	0	47.1	0	32.77	0	7.8007	0	7.5144	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		   751.03	0	  1.9815	0	34.7023	0	27.709	0	159.7	0	46.9	0	32.69	0	7.8011	0	7.5136	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		   701.66	0	  1.9958	0	34.6939	0	27.7	0	159.0	0	46.7	0	33.09	0	7.7980	0	7.5094	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		   651.76	0	  2.0324	0	34.6814	0	27.687	0	157.5	0	46.3	0	33.17	0	7.7952	0	7.5056	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		   601.30	0	  2.0677	0	34.6649	0	27.67	0	156.1	0	45.9	0	33.42	0	7.7908	0	7.5005	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		   551.10	0	  2.1240	0	34.6534	0	27.656	0	154.6	0	45.5	0	33.75	0	7.7879	0	7.4970	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		   501.72	0	  2.1623	0	34.6249	0	27.629	0	154.2	0	45.4	0	34.12	0	7.7836	0	7.4919	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		   451.65	0	  2.1068	0	34.5855	0	27.602	0	155.7	0	45.8	0	34.37	0	7.7809	0	7.4870	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		   400.59	0	  2.1637	0	34.5575	0	27.574	0	155.1	0	45.7	0	35.04	0	7.7738	0	7.4796	0
9655SoOcn	 1	C	01/09/2016	09:04	303.495	-57.993		   381.44	0	  2.1372	0	34.5409	0	27.563	0	156.4	0	46.0	0	34.92	0	7.7750	0	7.4798	0
