//0																									
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		1799.4	0	2.4424	0	34.6107	0	27.591	0	153.3	0	45.5	0	32.69	0	7.691	0	7.4535	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		1699.5	0	2.5254	0	34.582	0	27.56	0	154.3	0	45.8	0	32.8	0	7.6901	0	7.4506	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		1598.56	0	2.5883	0	34.547	0	27.525	0	155.9	0	46.4	0	32.96	0	7.693	0	7.4507	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		1499.05	0	2.6996	0	34.5086	0	27.483	0	157.9	0	47.1	0	33.04	0	7.6975	0	7.4532	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		1399.96	0	2.8574	0	34.4646	0	27.431	0	159.5	0	47.8	0	33.24	0	7.6999	0	7.4543	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		1298.84	0	3.002	0	34.4201	0	27.38	0	165.2	0	49.6	0	32.74	0	7.7104	0	7.4626	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		1198.4	0	3.182	0	34.3824	0	27.331	0	171.7	0	51.8	0	32.3	0	7.7217	0	7.4721	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		1099.46	0	3.4234	0	34.3419	0	27.273	0	178.8	0	54.2	0	31.62	0	7.7367	0	7.486	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		999.68	0	3.7488	0	34.2953	0	27.2	0	190.1	0	58.1	0	30.36	0	7.7559	0	7.5048	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		951.16	0	3.9297	0	34.2828	0	27.17	0	193.6	0	59.4	0	29.82	0	7.7651	0	7.5142	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		901.68	0	4.1204	0	34.2641	0	27.133	0	199	0	61.4	0	29.1	0	7.776	0	7.5252	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		851.6	0	4.3077	0	34.2496	0	27.1	0	204.6	0	63.4	0	28.33	0	7.7866	0	7.5358	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		800.61	0	4.4852	0	34.2412	0	27.073	0	208.8	0	65	0	27.6	0	7.7954	0	7.5447	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		751.61	0	4.5638	0	34.2192	0	27.046	0	216.4	0	67.4	0	26.93	0	7.8086	0	7.5562	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		701.61	0	4.7181	0	34.2077	0	27.018	0	222.8	0	69.7	0	25.99	0	7.82	0	7.5672	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		650.94	0	4.8101	0	34.1826	0	26.986	0	234.7	0	73.6	0	24.6	0	7.8455	0	7.5902	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		601.57	0	4.8829	0	34.1682	0	26.966	0	246.9	0	77.5	0	23.51	0	7.859	0	7.602	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		551.76	0	4.9728	0	34.1634	0	26.951	0	257.8	0	81.1	0	22.33	0	7.8759	0	7.6171	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		500.64	0	5.0285	0	34.1657	0	26.946	0	270.4	0	85.2	0	21.06	0	7.895	0	7.6337	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		450.87	0	5.1069	0	34.1718	0	26.942	0	270.6	0	85.4	0	21	0	7.8943	0	7.6325	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		400.77	0	5.1542	0	34.1733	0	26.937	0	267.8	0	84.6	0	20.93	0	7.8988	0	7.6357	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		381.18	0	5.2417	0	34.1844	0	26.936	0	267	0	84.5	0	21.08	0	7.896	0	7.6337	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		360.92	0	5.2061	0	34.1761	0	26.933	0	266.1	0	84.2	0	21.31	0	7.8945	0	7.6312	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		350.91	0	5.2375	0	34.1788	0	26.931	0	266.1	0	84.3	0	20.88	0	7.8999	0	7.6362	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		340.84	0	5.2811	0	34.1853	0	26.931	0	268.1	0	85	0	20.83	0	7.9018	0	7.6382	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		331.26	0	5.2959	0	34.1859	0	26.93	0	268.5	0	85.1	0	20.71	0	7.9021	0	7.6384	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		321.22	0	5.3031	0	34.1863	0	26.93	0	268.7	0	85.2	0	20.73	0	7.9013	0	7.6374	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		311.46	0	5.3159	0	34.1872	0	26.929	0	268.8	0	85.3	0	20.64	0	7.9036	0	7.6394	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		301.45	0	5.319	0	34.186	0	26.927	0	269.4	0	85.5	0	20.47	0	7.9042	0	7.6397	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		290.5	0	5.3196	0	34.1837	0	26.925	0	269	0	85.4	0	20.82	0	7.9019	0	7.6372	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		281.38	0	5.3481	0	34.1863	0	26.924	0	267.4	0	84.9	0	20.57	0	7.9042	0	7.6394	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		270.65	0	5.3711	0	34.1893	0	26.924	0	268.1	0	85.2	0	20.58	0	7.9054	0	7.6405	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		261.01	0	5.3687	0	34.1871	0	26.922	0	267.6	0	85	0	20.6	0	7.9041	0	7.6389	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		250.78	0	5.3735	0	34.1833	0	26.918	0	268.1	0	85.2	0	20.58	0	7.9073	0	7.6416	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		240.64	0	5.3839	0	34.1812	0	26.915	0	269.2	0	85.5	0	20.39	0	7.9081	0	7.6421	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		231.38	0	5.4016	0	34.1826	0	26.914	0	269.3	0	85.6	0	20.29	0	7.9092	0	7.6432	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		221.53	0	5.4322	0	34.1851	0	26.912	0	269.2	0	85.6	0	20.45	0	7.9094	0	7.6434	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		210.86	0	5.4844	0	34.1901	0	26.91	0	267.9	0	85.3	0	20.29	0	7.9099	0	7.6443	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		200.77	0	5.5324	0	34.197	0	26.91	0	267.6	0	85.4	0	20.14	0	7.9122	0	7.6467	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		191.51	0	5.5498	0	34.1972	0	26.908	0	268.5	0	85.7	0	20.03	0	7.9121	0	7.6466	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		181.43	0	5.5743	0	34.1991	0	26.906	0	268.6	0	85.7	0	19.96	0	7.9131	0	7.6475	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		171.39	0	5.6327	0	34.2037	0	26.903	0	268.3	0	85.8	0	19.85	0	7.9168	0	7.6514	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		161.68	0	5.6586	0	34.2049	0	26.9	0	269.2	0	86.1	0	19.71	0	7.9183	0	7.6528	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		151.72	0	5.7315	0	34.2112	0	26.896	0	268.3	0	86	0	19.52	0	7.9199	0	7.6549	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		141.13	0	5.75	0	34.2033	0	26.887	0	269.6	0	86.4	0	19.21	0	7.925	0	7.6596	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		131.45	0	5.8397	0	34.1989	0	26.872	0	271.1	0	87.1	0	18.97	0	7.9269	0	7.6622	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		119.72	0	5.9525	0	34.1924	0	26.852	0	272.1	0	87.6	0	18.49	0	7.9344	0	7.6702	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		110.78	0	6.0631	0	34.1887	0	26.835	0	273	0	88.2	0	17.65	0	7.9528	0	7.6884	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		101.62	0	6.2808	0	34.1761	0	26.795	0	275.4	0	89.4	0	17.34	0	7.9562	0	7.6943	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		94.56	0	6.2905	0	34.1778	0	26.795	0	276.8	0	89.9	0	17.29	0	7.9568	0	7.6947	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		87.36	0	6.2951	0	34.1779	0	26.795	0	277.1	0	90	0	17.21	0	7.959	0	7.6966	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		80.4	0	6.3017	0	34.1775	0	26.794	0	277.9	0	90.2	0	17.3	0	7.958	0	7.6955	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		73.38	0	6.3046	0	34.1779	0	26.794	0	278.1	0	90.3	0	17.19	0	7.9613	0	7.6984	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		66.33	0	6.3115	0	34.1779	0	26.793	0	278.5	0	90.4	0	17.18	0	7.9601	0	7.6971	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		59.3	0	6.3124	0	34.1783	0	26.793	0	278.8	0	90.6	0	17.21	0	7.9636	0	7.7001	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		51.65	0	6.3382	0	34.1742	0	26.786	0	280	0	91	0	16.93	0	7.9653	0	7.7018	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		44.61	0	6.3538	0	34.1755	0	26.785	0	281.1	0	91.4	0	17.06	0	7.9638	0	7.7004	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		37.26	0	6.4031	0	34.1775	0	26.78	0	280.9	0	91.4	0	16.9	0	7.9634	0	7.7005	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		29.7	0	6.4878	0	34.178	0	26.769	0	281	0	91.6	0	16.74	0	7.966	0	7.7038	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		22.5	0	6.6914	0	34.1755	0	26.739	0	279.8	0	91.7	0	16.56	0	7.9638	0	7.7044	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		15.46	0	6.7378	0	34.1797	0	26.736	0	279.7	0	91.7	0	16.51	0	7.9636	0	7.7047	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262		8.08	0	6.7548	0	34.1778	0	26.732	0	279.9	0	91.9	0	16.41	0	7.9656	0	7.7065	0
9666SoOcn	1	C	12/29/2015	5:31	270.747	-54.262																			
9666SoOcn	2	C	1/8/2016	12:18	270.35	-53.569		1898.12	0	2.3945	0	35.5783	8	28.384	8	151.5	8	45.2	8	30.54	0	7.761	0	7.5202	0
9666SoOcn	2	C	1/8/2016	12:18	270.35	-53.569		1798.49	0	2.4648	0	35.4334	8	28.26	8	152.2	8	45.4	8	30.83	0	7.7625	0	7.5193	0
9666SoOcn	2	C	1/8/2016	12:18	270.35	-53.569		1698.36	0	2.5993	0	35.2181	8	28.071	8	154.5	8	46.2	8	31.23	0	7.7581	0	7.5139	0
9666SoOcn	2	C	1/8/2016	12:18	270.35	-53.569		1599.62	0	2.6826	0	35.2936	8	28.125	8	156.2	8	46.8	8	31.2	0	7.762	0	7.5153	0
9666SoOcn	2	C	1/8/2016	12:18	270.35	-53.569		1499.11	0	2.7302	0	35.252	8	28.086	8	157.8	8	47.3	8	31.27	0	7.7673	0	7.5175	0
9666SoOcn	2	C	1/8/2016	12:18	270.35	-53.569		1398.71	0	2.794	0	35.6327	8	28.391	8	159	8	47.9	8	30.85	0	7.7754	0	7.5226	0
9666SoOcn	2	C	1/8/2016	12:18	270.35	-53.569		1299.62	0	2.9117	0	34.7857	8	27.688	8	163.2	8	49	8	31.37	0	7.7723	0	7.5181	0
