,Lat,Lon,Shape
0,-54.6216291837,10.1968432423,0
1,-54.7151870219,9.97992114574,0
2,-54.8774486161,9.78240703181,0
3,-55.0045529293,9.20124966027,0
4,-55.1764085384,8.87686774108,0
5,-55.4337210736,6.44953470384,0
6,-55.5463654198,4.35107795157,0
7,-55.5585788463,1.49109355171,0
8,-55.5668259482,0.745673032128,0
9,-55.6393225792,359.62633717,0
10,-55.7781912384,359.249443204,0
11,-55.834119552,358.120069456,0
12,-55.9583986313,357.357454706,0
13,-55.9932787592,356.219431466,0
14,-56.119448144,355.824309753,0
15,-56.1561715569,355.057670895,0
16,-56.2779201509,354.656034163,0
17,-56.3133654775,354.010967007,0
18,-56.4388904246,353.730317423,0
19,-56.4769921151,353.208002699,0
20,-56.600418089,352.92274339,0
21,-56.6344584358,352.396865852,0
22,-56.7557304709,352.107032597,0
23,-56.7856541636,351.577761085,0
24,-56.9047176968,351.283397036,0
25,-56.918995596,350.622939306,0
26,-57.0234208371,350.195489822,0
27,-57.0308319315,349.532216552,0
28,-57.1441847404,349.227920019,0
29,-57.1313238465,348.434055916,0
30,-57.2119877753,347.868678933,0
31,-57.1888815605,347.074000875,0
32,-57.295090657,346.759480085,0
33,-57.2977756737,346.218402764,0
34,-57.4014758824,345.899881665,0
35,-57.3997605953,345.35696773,0
36,-57.5009047636,345.034544044,0
37,-57.4947564844,344.490029126,0
38,-57.593298825,344.163808121,0
39,-57.5826880939,343.617934653,0
40,-57.6785843024,343.288029027,0
41,-57.5778365268,342.235146699,0
42,-57.5798099394,341.397520135,0
43,-57.4605977605,340.355050753,0
44,-57.5461995853,340.016893478,0
45,-57.5393019488,339.598766021,0
46,-57.647652298,339.381811877,0
47,-57.6637324675,339.086443704,0
48,-57.7710991641,338.866804729,0
49,-57.7334426793,338.322179147,0
50,-57.7858452071,337.851947849,0
51,-57.687829617,337.06319161,0
52,-57.6039960722,336.6969823,0
53,-57.396575353,336.144455893,0
54,-57.2090680016,336.01093599,0
55,-57.027931696,335.588348794,0
56,-56.8400800736,335.459713904,0
57,-56.5061367237,334.465131532,0
58,-56.2895994957,333.662311834,0
59,-56.0976400511,332.700427789,0
60,-56.2531669919,332.412932324,0
61,-56.2792524421,331.957409111,0
62,-56.4613663601,331.491526306,0
63,-56.4833870473,331.032339354,0
64,-56.8813919324,330.479995853,0
65,-57.1187115677,329.931417178,0
66,-57.5119752245,329.353542801,0
67,-57.5245272825,328.877529803,0
68,-57.6328176538,328.444648024,0
69,-57.580961164,328.036735711,0
70,-57.6637324675,327.783453941,0
71,-57.647652298,327.488085769,0
72,-57.7291424666,327.232787253,0
73,-57.7115353685,326.937098829,0
74,-57.7917293343,326.679816164,0
75,-57.772589966,326.383862471,0
76,-57.8514729451,326.124629823,0
77,-57.8307964375,325.828466668,0
78,-57.9083539457,325.567319757,0
79,-57.8047453325,325.051700342,0
80,-57.7980292777,324.57086618,0
81,-57.6897286048,324.06057845,0
82,-57.820339746,323.717456965,0
83,-57.8502269174,323.343891584,0
84,-58.0355286907,322.915008932,0
85,-58.0626446402,322.538058068,0
86,-58.244890174,322.101271726,0
87,-58.2691835893,321.721029576,0
88,-58.4482780038,321.276340606,0
89,-58.4245828714,320.787242964,0
90,-58.5542756976,320.229450773,0
91,-58.5258825381,319.739571206,0
92,-58.6427216086,319.368949045,0
93,-58.5565791936,318.968475843,0
94,-58.5698922464,318.582369957,0
95,-58.4809256444,318.185181365,0
96,-58.5394357977,317.901020741,0
97,-58.4480231038,317.506296282,0
98,-58.6129499318,316.841362089,0
99,-58.7716951876,316.363927532,0
100,-59.1310736668,315.887471215,0
101,-59.233848533,315.692661343,0
102,-59.3370337875,315.297895649,0
103,-59.286705769,315.0,0
104,-59.3370337875,314.702104351,0
105,-59.2851263733,314.405255485,0
106,-59.333868925,314.106377466,0
107,-59.2803887661,313.810639109,0
108,-59.3275403653,313.510843738,0
109,-59.2724946856,313.216278846,0
110,-59.3180504366,312.915631662,0
111,-59.261447026,312.62230234,0
112,-59.449903953,312.008169254,0
113,-59.5337531827,311.398721883,0
114,-59.9026418644,310.337260664,0
115,-60.0234582617,309.603048293,0
116,-60.5989961631,307.926462325,0
117,-60.8780042178,306.692053066,0
118,-61.4943158625,304.656815779,0
119,-61.658959904,303.605498171,0
120,-61.914605877,302.494799945,0
121,-61.9535225783,302.364804541,0
122,-62.0924346609,302.186022786,0
123,-62.1925856227,302.137248981,0
124,-62.2106334047,300.883697274,1
125,-62.185390007,300.670481488,1
126,-62.2223766591,300.536582494,1
127,-62.3586818466,300.346542502,1
128,-62.2696048912,300.054376083,1
129,-62.1884454168,299.41703962,1
130,-61.8781841765,298.69632354,1
131,-61.9923063441,297.255328375,1
132,-61.9605518013,296.013484298,1
133,-62.2050105135,294.546958318,1
134,-62.1621421645,293.994030826,1
135,-62.2123106617,293.362058771,1
136,-62.2410394985,293.219045986,1
137,-62.3932522499,292.848854013,1
138,-62.5836864532,292.680559607,1
139,-63.1295368405,290.065704897,1
140,-63.6458795122,287.707092413,1
141,-64.0667627571,285.049863462,1
142,-64.0856703582,284.888313346,1
143,-64.0883421843,284.198554024,1
144,-64.1413088031,283.710933808,1
145,-64.2969599525,282.9313904,1
146,-64.4723740575,282.676239431,1
147,-64.6068020628,282.047030491,1
148,-64.637003207,281.712472311,1
149,-64.6087704671,281.175907503,1
150,-64.6228824071,281.008202077,1
151,-64.7225743929,280.704006749,1
152,-64.7360981467,280.535257209,1
153,-64.703127683,279.998044692,1
154,-64.728180813,279.659893078,1
155,-64.8482305762,279.008503742,1
156,-65.0159888535,278.719746506,1
157,-65.1315575343,278.056044947,1
158,-65.2974195912,277.75725005,1
159,-65.4428422419,276.379248168,1
160,-65.6344340362,275.355825043,1
161,-65.799891203,271.795517946,1
162,-65.8095886375,269.281595274,1
163,-65.6962611983,266.602052375,1
164,-65.6917817196,266.423665625,1
165,-65.7393802795,265.518894252,1
166,-65.8612659974,264.77297964,1
167,-65.8901063289,263.679709531,1
168,-66.0198420346,263.279576389,1
169,-66.026839247,261.99807591,1
170,-66.1183623008,261.046295372,1
171,-66.0917886305,259.581342541,1
172,-66.1955774737,258.976544036,1
173,-66.1944019048,258.045517198,1
174,-66.3075524547,257.610500963,1
175,-66.2453633141,256.141279681,1
176,-66.1353539168,255.080314144,1
177,-65.8428699791,253.214622669,1
178,-65.7338562597,252.357629979,1
179,-65.6422244541,251.11391263,1
180,-65.733165856,250.659264517,1
181,-65.7283336443,250.09334897,1
182,-65.8414822348,249.801785636,1
183,-65.8069329562,249.065631581,1
184,-65.8641598766,248.432585979,1
185,-65.7660995378,247.366345454,1
186,-65.8155939868,246.730644871,1
187,-65.7046483441,245.674424761,1
